RANG,PRODUIT,BOUTIQUE,MARQUE / PAGE FB,NICHE,STATUT,SCORE /9,ADS ACTIVES,AGE (j),REACH 30j,TRAFIC/MOIS,MARCHES ACTIFS,FRANCE ?,MARCHES LIBRES,OU LANCER (reco),PRIX VU,COMMENTAIRE FORMATION,VERDICT BADR,NOTES BADR,LIEN BOUTIQUE,LIEN AD LIBRARY
1,"Federa in Mussola (taie mousseline, set de 2)",thefleececompany.it,Mussola & Co.,Maison / literie,BANGER,,3373,115,,0,"US, CA, AU, GB, DE","PARTIEL - la mousseline est travaillee en FR sur la COUVERTURE (Montivo, 4,8 M reach, +2,04 M de reach le 24/08 seul ; Swiss-LifeBox, 805 ads, boutique de 55 j) mais PAS sur la taie d'oreiller. Verifie le 25/08.","FR sur le SKU taie uniquement - a confirmer, DE/ES a verifier","Angle possible en FR sur la taie seule, en profitant du fait que Montivo et Swiss-LifeBox ont deja eduque le marche sur la mousseline. Mais leur courbe recule (3604 -> 3163 ads) : ce n'est pas une pepite fraiche.","39,95 EUR","3 604 -> 3 163 ads : volume tres eleve mais en LEGER RECUL, donc pas en phase d'explosion. Mono-produit (2 SKU) enregistre a Hong Kong, marche principal US : profil d'operateur asiatique qui scale. MASTER RESEARCH 9 : textile leger, comprehension immediate, difficile a trouver en magasin. Le set de 2 resout d'emblee le probleme d'AOV.",,,https://thefleececompany.it,https://www.facebook.com/ads/library/?q=mussola
2,HappyHarvest Tart Cherry Extract,tryhappyharvest.com,HappyHarvest,Sante / complements,BANGER,,1281,59,,0,"ES (1er), US, CA, AU, GB",SANS OBJET - complement non lance en France (arbitrage Badr),a verifier,"Complement ingerable : hors France (arbitrage Badr 25/08). Hors formation - aucune lecon ne traite la reglementation des complements. Certifications obligatoires pour vendre en France, 200-400 EUR chacune ; Meta rejette les claims sante.","39,99 USD","450 -> 935 -> 1136 -> 1281 ads en 4 semaines, boutique mono-produit creee le 27/06. Profil MASTER RESEARCH 3 (fraicheur + volume d'ads). Le fait que l'Espagne soit leur marche numero 1 est atypique et vaut une verification : c'est un marche ou tu es deja installe. Bloque par le critere 6 (legal).",,,https://tryhappyharvest.com,https://www.facebook.com/ads/library/?q=tart%20cherry
3,An Angel By Your Side - Necklace,holdmategear.de,Holdmate Gear,Cadeau / bijou emotionnel,BANGER,,1270,81,,0,"AU, US, CA, NZ, GR","PRIS - Callie France (collier photo aile d'ange, 411 ads actives, 468 j, 4,4 M reach) fait le MEME angle. + Milona Paris (10,2 M reach) et Tanndem (4,3 M reach). Verifie le 25/08.",DE et ES a verifier - FR est hors jeu,"PAS la France. Le bijou-cadeau personnalise FR est tenu par des acteurs installes depuis plus d'un an. A reevaluer sur DE/ES seulement, et sans illusion : l'angle est generique.","25,95 EUR","Correction du 25/08 : le controle France l'ecarte. MASTER RESEARCH 2 exige un TAM enorme ET une concurrence saine - ici la concurrence n'est pas saine, elle est installee (Callie France diffuse le meme angle depuis 468 jours avec 411 ads). Le plateau d'ads chez holdmategear (1240 -> 1270) confirme qu'ils ne sont PAS en phase d'explosion.",,,https://holdmategear.de,https://www.facebook.com/ads/library/?q=angel%20necklace
4,Black Walnut Wormwood Parasite Cleanse,tryalora.co,Alora,Sante / complements,BANGER,,1223,50,,0,"US, CA, AU, NZ, GB",SANS OBJET - complement non lance en France (arbitrage Badr),a verifier,"Complement ingerable : hors France (arbitrage Badr 25/08). Certifications obligatoires 200-400 EUR ; Meta rejette les claims sante.","34,99 USD","La plus forte acceleration du scan : 223 -> 534 -> 963 -> 1223 ads en 3 semaines (x5,5). MASTER RESEARCH 13 : c'est le daily spend en hausse qui compte. MAIS MASTER RESEARCH 9 critere 6 (aucun probleme legal/douanier) bloque : complement alimentaire ingerable vendu en UE = novel food / allegations sante.",,,https://tryalora.co,https://www.facebook.com/ads/library/?q=parasite%20cleanse
5,Robe / denim gradient (mono-SKU en tete),vovalin.com,Vovalin,Apparel femme,BANGER,,963,56,,0,"US, CA, AU, FR, IT",PRIS (a confirmer) - la France figure dans leurs 5 premiers marches,a verifier,"Rien en l'etat : 787 produits au catalogue = boutique de volume, pas un produit a copier. Et ils sont deja en FR.","52,99 USD","293 -> 579 -> 890 -> 963 ads en 4 semaines. Mais 787 produits indexes : c'est un magasin generaliste qui pousse des dizaines de references, pas un mono-produit. FILTRES 1 : le signal 'beaucoup d'ads' ne vaut que rapporte a l'age ET a la concentration du catalogue. A ecarter sauf si un SKU precis se detache.",,,https://vovalin.com,https://www.facebook.com/ads/library/?q=vovalin
6,GroundGuard (chaussettes de travail),getwildnest.com,WildNest / page FB WakeSure,Outils & metiers,BANGER,8/9,616,24,1943261,0,"GB, NZ, AU, CA, US (Big Five)","PRIS - Solina (solina-official.com), ~10 ads actives, 270 creees, depuis le 15/08","DE, ES, IT, AT, CH, BE (verifie le 24/08)","DE en priorite 1 : marche libre au 24/08, plus gros effectif BTP d'Europe, boutique DE deja en place et COGS DE connus. Puis AT + CH avec le meme jeu de creas allemandes. PayPal obligatoire en Allemagne.","25,99 USD","MASTER RESEARCH 3 : boutique a 0 visiteur SimilarWeb + des centaines d'ads actives = exactement le profil 'a chopper avant les autres'. MASTER RESEARCH 9 : 8 criteres sur 9 coches, c'est un consommable (reachat) donc resilient. ATTENTION : la courbe d'ads plafonne (62 -> 264 -> 549 -> 616 par semaine), la phase d'explosion est finie. MASTER ACQUISITION 22 : leur dispositif est en blended 4-5 pays, une campagne mono-pays est un angle d'attaque.",,,https://getwildnest.com/products/groundguard,https://www.facebook.com/ads/library/?q=groundguard
7,Lymphoria Drainage Drops,buy.lymphoria.co,Lymphoria,Sante / complements,EN TRAIN DE SCALE,,1557,69,,2058,"US, CA, GB, AU, NZ",SANS OBJET - complement non lance en France (arbitrage Badr),a verifier,"Complement ingerable : hors France (arbitrage Badr 25/08). Liquide : douane et Meta.","39,99 USD","869 -> 822 -> 1136 -> 1557 ads : reprise nette apres un creux. FILTRES 3 critere 6 : 'aucun probleme legal/douanier (attention liquides, contrefacon)' - c'est litteralement le cas d'ecole. A garder en veille pour l'angle (le drainage lymphatique est un angle qui marche), pas pour le produit.",,,https://lymphoria.co,https://www.facebook.com/ads/library/?q=lymphatic%20drainage%20drops
8,Moringa & Berberine 4-in-1,thegiftnorth.com,The Gift North,Sante / complements,EN TRAIN DE SCALE,,1060,115,,61805,"US, AU, CA, NZ, FR",PRIS - la France figure dans leurs 5 premiers marches d'ads,a verifier,"Complement ingerable : hors France (arbitrage Badr 25/08).","23,99 USD","385 -> 1060 ads en 4 semaines, 61 805 visites/mois : passe le seuil des 50-100k visiteurs de MASTER RESEARCH 2. Mais 76 produits au catalogue = boutique multi-produits, pas un mono-produit a copier. Interet principal : c'est le seul du scan qui diffuse deja en France, donc leurs creas FR sont lisibles gratuitement.",,,https://thegiftnorth.com,https://www.facebook.com/ads/library/?q=moringa%20berberine
9,Eclipse Charger,panthertechnology.com,Panther Technology,Tech / accessoires,EN TRAIN DE SCALE,,1031,111,,106434,"US, IT, AU, CA, DE",A VERIFIER,a verifier,"A creuser : 106 434 visites/mois, donc au-dessus du seuil de 50-100k. Electronique = verifier CE/RoHS avant tout test UE.","19,00 USD","607 -> 1 031 ads et 106 434 visites/mois : coche le critere de trafic de MASTER RESEARCH 2. 6 produits au catalogue, donc concentre. Reserve : l'electronique grand public tombe sous marquage CE et DEEE en UE - critere 6 a instruire. Prix 19 USD tres en dessous de ton AOV : ne tient qu'en bundle.",,,https://panthertechnology.com,https://www.facebook.com/ads/library/?q=eclipse%20charger
10,CloudNest (chaussettes cosy d'interieur),getwildnest.com/products/cloudnest,WildNest / page FB Lysnava,Maison / cosy Q4,A SURVEILLER,,26,4,2665,0,GB + US + CA + NZ + AU (deja blended),LIBRE (verifie le 24/08),tous - personne nulle part,"Ne rien lancer tant que le signal n'est pas confirme. Regle de veille : si les ads passent de 26 a 100+, c'est un second winner et l'Europe est vierge.",a relever,"4 jours d'existence, 26 ads, reach 2 665 : ce n'est PAS valide, c'est une intention. 0-to-1 79 : 'moins de 50 ads actives = pas ouf'. Le signal fort n'est pas le produit, c'est l'operateur : il a valide GroundGuard en 23 jours, qu'il remette une piece sur un second produit de chaussettes indique que son unit economics fonctionne. Produit de saison qui monte vers le Q4 + taille unique + 5 coloris = profil cadeau. C'est la ligne a regarder en premier chaque matin.",,,https://getwildnest.com/products/cloudnest,https://www.facebook.com/ads/library/?q=cloudnest
